#timestamp x y z qx qy qz qw
1787220168.77447891 -1.88614207 0.11797351 -0.02265093 0.00417864 0.01139909 -0.05076306 0.99863693
1787220169.87431765 0.37632837 0.10942758 0.00033141 -0.00498911 0.00660268 -0.00539814 0.99995119
1787220172.27433324 2.71585193 0.11460471 0.01278112 -0.00202136 0.01143972 0.02804848 0.99953906
1787220174.07435369 4.97459982 0.11301541 0.03927392 -0.00570150 0.00807848 -0.00506367 0.99993829
1787220175.77432513 6.73030631 0.19180436 0.05361499 -0.00848248 0.01301115 0.08571942 0.99619824
1787220176.87433791 8.23942252 0.37091019 0.05085055 -0.00566197 0.01852531 0.06942417 0.99739914
1787220183.17427206 9.16775597 0.87689650 0.04945936 -0.00938353 0.02138161 0.35437813 0.93481063
1787220184.57437396 9.14084424 1.89269808 0.00753032 -0.01232904 0.02543145 0.79837140 0.60150174
1787220185.77446747 8.71944278 2.89619836 -0.01132663 -0.01436019 0.02641351 0.81439106 0.57953715
1787220187.17428446 8.12282414 3.77945499 -0.02733969 -0.01804652 0.02069842 0.89618586 0.44282818
1787220188.37487960 7.76352982 4.74091479 -0.04345276 -0.01528095 0.01956581 0.78682750 0.61667345
1787220189.57420087 8.22424467 5.69476659 -0.06711640 -0.01672343 0.02101721 0.53699576 0.84315726
1787220194.17439675 8.76255125 6.60522704 -0.09518593 -0.01371797 0.01959113 0.49149877 0.87054981
1787220194.97430730 9.15143777 7.57514361 -0.10966890 -0.01302515 0.02375055 0.61637478 0.78698690
1787220196.37455440 8.34654709 9.50124467 -0.16695360 -0.01341243 0.02996726 0.93422868 0.35516030
1787220200.27441549 8.11158066 10.48090061 -0.20182089 -0.01178770 0.02477306 0.80347790 0.59470211
1787220204.87434912 7.12028482 10.67439921 -0.20283108 0.01736773 -0.02416142 -0.99761515 0.06227841
