s_m,x_m,y_m
12.374119853,8.902430518,3.232470744
12.396059782,8.902451025,3.262110507
12.417999711,8.902737878,3.291776824
12.439939640,8.903296268,3.321467571
12.461879568,8.904131595,3.351180457
12.483819497,8.905249576,3.380913008
12.505759426,8.906655955,3.410662570
12.527699355,8.908356471,3.440426306
12.549639284,8.910356852,3.470201197
12.571579212,8.912662768,3.499984044
12.593519141,8.915279513,3.529771495
12.615459070,8.918212191,3.559560045
12.637398999,8.921461538,3.589311873
12.659338928,8.925025990,3.618989247
12.681278857,8.928907161,3.648588608
12.703218785,8.933106118,3.678106390
12.725158714,8.937622808,3.707539135
12.747098643,8.942457025,3.736883379
12.769038572,8.947608545,3.766135639
12.790978501,8.953077127,3.795292409
12.812918429,8.958862390,3.824350185
12.834858358,8.964962461,3.853305734
12.856798287,8.971374519,3.882156051
12.878738216,8.978095722,3.910898192
12.900678145,8.985121987,3.939523777
12.922618073,8.992442204,3.967997239
12.944558002,9.000049686,3.996311056
12.966497931,9.007937213,4.024463790
12.988437860,9.016097302,4.052454263
13.010377789,9.024522528,4.080281489
13.032317718,9.033205518,4.107944661
13.054257646,9.042138908,4.135443167
13.076197575,9.051314380,4.162776857
13.098137504,9.060722823,4.189946034
13.120077433,9.070355177,4.216951226
13.142017362,9.080202470,4.243793166
13.163957290,9.090255815,4.270472788
13.185897219,9.100503018,4.296981618
13.207837148,9.110930873,4.323311862
13.229777077,9.121529138,4.349465785
13.251717006,9.132287679,4.375445870
13.273656935,9.143196476,4.401254804
13.295596863,9.154245628,4.426895470
13.317536792,9.165425533,4.452370865
13.339476721,9.176726915,4.477684078
13.361416650,9.188140621,4.502838346
13.383356579,9.199657602,4.527837055
13.405296507,9.211268917,4.552683730
13.427236436,9.222965894,4.577381960
13.449176365,9.234740327,4.601933787
13.471116294,9.246581571,4.626334948
13.493056223,9.258481573,4.650587882
13.514996152,9.270432896,4.674696407
13.536936080,9.282428201,4.698664408
13.558876009,9.294460943,4.722495522
13.580815938,9.306525737,4.746192933
