s_m,x_m,y_m
8.468812524,9.912362076,-1.112023944
8.490752452,9.947045508,-1.102792458
8.512692381,9.982133528,-1.092602796
8.534632310,10.017613581,-1.081400220
8.556572239,10.053465107,-1.069129911
8.578512168,10.089663017,-1.055737355
8.600452096,10.126178562,-1.041166254
8.622392025,10.162978583,-1.025358459
8.644331954,10.200024852,-1.008254344
8.666271883,10.237273412,-0.989793344
8.688211812,10.274674261,-0.969915184
8.710151741,10.312170723,-0.948560543
8.732091669,10.349698568,-0.925671432
8.754031598,10.387185492,-0.901192292
8.775971527,10.424550738,-0.875071253
8.797911456,10.461375947,-0.847537151
8.819851385,10.497293910,-0.818863527
8.841791313,10.532293355,-0.789067101
8.863731242,10.566361728,-0.758161994
8.885671171,10.599484861,-0.726159947
8.907611100,10.631646649,-0.693070532
8.929551029,10.662827932,-0.658900724
8.951490958,10.693005981,-0.623655214
8.973430886,10.722155102,-0.587337608
8.995370815,10.750246471,-0.549950854
9.017310744,10.777247927,-0.511497637
9.039250673,10.803123484,-0.471980638
9.061190602,10.827768141,-0.431515976
9.083130530,10.850792031,-0.390820839
9.105070459,10.872181976,-0.350088544
9.127010388,10.891996132,-0.309393225
9.148950317,10.910295095,-0.268800234
9.170890246,10.927139988,-0.228366415
9.192830175,10.942591021,-0.188140705
9.214770103,10.956707707,-0.148165329
9.236710032,10.969548320,-0.108476562
9.258649961,10.981169407,-0.069105424
9.280589890,10.991625414,-0.030078360
9.302529819,11.000968384,0.008582138
9.324469747,11.009247826,0.046856933
9.346409676,11.016489146,0.084607702
9.368349605,11.022727416,0.121682450
9.390289534,11.028024367,0.158048085
9.412229463,11.032441465,0.193676822
9.434169392,11.036040141,0.228545599
9.456109320,11.038880186,0.262635730
9.478049249,11.041019264,0.295932352
9.499989178,11.042512671,0.328423859
9.521929107,11.043413364,0.360101359
9.543869036,11.043773847,0.390958094
9.565808964,11.043645344,0.420989126
9.587748893,11.043076392,0.450191007
9.609688822,11.042114176,0.478649628
9.631628751,11.040796794,0.506891944
9.653568680,11.039134752,0.535002621
9.675508609,11.037138284,0.562978252
9.697448537,11.034818080,0.590815765
9.719388466,11.032184812,0.618512428
9.741328395,11.029249125,0.646065831
9.763268324,11.026021711,0.673473884
9.785208253,11.022514619,0.700734852
9.807148181,11.018741064,0.727847389
9.829088110,11.014714243,0.754810498
9.851028039,11.010447289,0.781623519
9.872967968,11.005953272,0.808286108
9.894907897,11.001246309,0.834785979
9.916847826,10.996341676,0.861111461
9.938787754,10.991254036,0.887263596
9.960727683,10.985997943,0.913243719
9.982667612,10.980587836,0.939053440
10.004607541,10.975038023,0.964694617
10.026547470,10.969362158,0.990169284
10.048487398,10.963573165,1.015479607
10.070427327,10.957683820,1.040627918
10.092367256,10.951706787,1.065616703
10.114307185,10.945654622,1.090448584
10.136247114,10.939539494,1.115126266
10.158187042,10.933370627,1.139661292
10.180126971,10.927149179,1.164109614
10.202066900,10.920880805,1.188481963
10.224006829,10.914572266,1.212780157
10.245946758,10.908230271,1.237006077
10.267886687,10.901860494,1.261161516
10.289826615,10.895467025,1.285248060
10.311766544,10.889053795,1.309267295
10.333706473,10.882624709,1.333220818
10.355646402,10.876183651,1.357110243
10.377586331,10.869734296,1.380937159
10.399526259,10.863278831,1.404702900
10.421466188,10.856818732,1.428408653
10.443406117,10.850357259,1.452046491
10.465346046,10.843898138,1.475608714
10.487285975,10.837443503,1.499096800
10.509225904,10.830994963,1.522512091
10.531165832,10.824553052,1.545855672
10.553105761,10.818118155,1.569128543
10.575045690,10.811690642,1.592331649
10.596985619,10.805270872,1.615465876
10.618925548,10.798859136,1.638532045
10.640865476,10.792455130,1.661530795
10.662805405,10.786058158,1.684462621
10.684745334,10.779667510,1.707327955
10.706685263,10.773283411,1.730123078
10.728625192,10.766911255,1.752824007
10.750565121,10.760552301,1.775427500
10.772505049,10.754206591,1.797934302
10.794444978,10.747874090,1.820345079
10.816384907,10.741554732,1.842660437
10.838324836,10.735248423,1.864880924
10.860264765,10.728955039,1.887007035
10.882204693,10.722674440,1.909039214
10.904144622,10.716406470,1.930977866
10.926084551,10.710150939,1.952823350
10.948024480,10.703907628,1.974575988
10.969964409,10.697676287,1.996236067
10.991904338,10.691457347,2.017801333
11.013844266,10.685251558,2.039269669
11.035784195,10.679059094,2.060641526
11.057724124,10.672880089,2.081917335
11.079664053,10.666714637,2.103097520
11.101603982,10.660562799,2.124182494
11.123543910,10.654424866,2.145172737
11.145483839,10.648301393,2.166068803
11.167423768,10.642192912,2.186871255
11.189363697,10.636099911,2.207580661
11.211303626,10.630022834,2.228197602
11.233243555,10.623962169,2.248722696
11.255183483,10.617919050,2.269155879
11.277123412,10.611895844,2.289493056
11.299063341,10.605893975,2.309734193
11.321003270,10.599914624,2.329880096
11.342943199,10.593958926,2.349931598
11.364883127,10.588028297,2.369889640
11.386823056,10.582124618,2.389755313
11.408762985,10.576249765,2.409529750
11.430702914,10.570405564,2.429214115
11.452642843,10.564593791,2.448809609
11.474582772,10.558816261,2.468317486
11.496522700,10.553075432,2.487739197
11.518462629,10.547374047,2.507076296
11.540402558,10.541715385,2.526327813
11.562342487,10.536102829,2.545492539
11.584282416,10.530539210,2.564571707
11.606222344,10.525027707,2.583566666
11.628162273,10.519572283,2.602478951
11.650102202,10.514176965,2.621310133
11.672042131,10.508845739,2.640061796
11.693982060,10.503582554,2.658735535
11.715921989,10.498391387,2.677332967
11.737861917,10.493276969,2.695855864
11.759801846,10.488244503,2.714306083
11.781741775,10.483299173,2.732685467
11.803681704,10.478446065,2.750996249
11.825621633,10.473689925,2.769242312
11.847561561,10.469036111,2.787424940
11.869501490,10.464490714,2.805545027
11.891441419,10.460059924,2.823603425
11.913381348,10.455749910,2.841600918
11.935321277,10.451566819,2.859538219
11.957261206,10.447516787,2.877415970
11.979201134,10.443606087,2.895234757
12.001141063,10.439841116,2.912995095
12.023080992,10.436228249,2.930697411
12.045020921,10.432773843,2.948342036
12.066960850,10.429484230,2.965929203
12.088900778,10.426364173,2.983473867
12.110840707,10.423417786,3.000989831
12.132780636,10.420650392,3.018475444
12.154720565,10.418067291,3.035928945
12.176660494,10.415673757,3.053348461
12.198600423,10.413475016,3.070732002
12.220540351,10.411475662,3.088077437
12.242480280,10.409679557,3.105382512
12.264420209,10.408090489,3.122644890
12.286360138,10.406712206,3.139862159
12.308300067,10.405548415,3.157031822
12.330239995,10.404602588,3.174151306
12.352179924,10.403877091,3.191224604
12.374119853,10.403373672,3.208288468
12.396059782,10.403093591,3.225345857
12.417999711,10.403038026,3.242393024
12.439939640,10.403208102,3.259426190
12.461879568,10.403604393,3.276441572
12.483819497,10.404226647,3.293435422
12.505759426,10.405074500,3.310404007
12.527699355,10.406147542,3.327343615
12.549639284,10.407445317,3.344250549
12.571579212,10.408967269,3.361121138
12.593519141,10.410712339,3.377951777
12.615459070,10.412679213,3.394738922
12.637398999,10.414868826,3.411500672
12.659338928,10.417281751,3.428255304
12.681278857,10.419916060,3.444999607
12.703218785,10.422769759,3.461730417
12.725158714,10.425840760,3.478444620
12.747098643,10.429126931,3.495139150
12.769038572,10.432626106,3.511810985
12.790978501,10.436336087,3.528457149
12.812918429,10.440254657,3.545074709
12.834858358,10.444379705,3.561660748
12.856798287,10.448709178,3.578212372
12.878738216,10.453240997,3.594726723
12.900678145,10.457973818,3.611204533
12.922618073,10.462910054,3.627664676
12.944558002,10.468048179,3.644108815
12.966497931,10.473385973,3.660535101
12.988437860,10.478921209,3.676941706
13.010377789,10.484651639,3.693326825
13.032317718,10.490574988,3.709688680
13.054257646,10.496688955,3.726025522
13.076197575,10.502991093,3.742335663
13.098137504,10.509478832,3.758617475
13.120077433,10.516149581,3.774869368
13.142017362,10.523000730,3.791089782
13.163957290,10.530029656,3.807277195
13.185897219,10.537235722,3.823436858
13.207837148,10.544617875,3.839574885
13.229777077,10.552172858,3.855691104
13.251717006,10.559897408,3.871785389
13.273656935,10.567788259,3.887857658
13.295596863,10.575842131,3.903907880
13.317536792,10.584055295,3.919936234
13.339476721,10.592423517,3.935943152
13.361416650,10.600942539,3.951929142
13.383356579,10.609608115,3.967894779
13.405296507,10.618416010,3.983840701
13.427236436,10.627361893,3.999767653
13.449176365,10.636441247,4.015677627
13.471116294,10.645651386,4.031577801
13.493056223,10.654987823,4.047471207
13.514996152,10.664445713,4.063360037
13.536936080,10.674020225,4.079246544
13.558876009,10.683706414,4.095133105
13.580815938,10.693499146,4.111022253
13.602755867,10.703393286,4.126916588
13.624695796,10.713383721,4.142818774
13.646635724,10.723465353,4.158731527
13.668575653,10.733633136,4.174657602
13.690515582,10.743882308,4.190599671
13.712455511,10.754208250,4.206560386
13.734395440,10.764608153,4.222546145
13.756335369,10.775079327,4.238563838
13.778275297,10.785617332,4.254616887
13.800215226,10.796218085,4.270708554
13.822155155,10.806878243,4.286841720
13.844095084,10.817594544,4.303019216
13.866035013,10.828363709,4.319243869
13.887974941,10.839182440,4.335518503
13.909914870,10.850047500,4.351845889
13.931854799,10.860956584,4.368228274
13.953794728,10.871907971,4.384667545
13.975734657,10.882899915,4.401165555
13.997674586,10.893931235,4.417725225
14.019614514,10.905003730,4.434355114
14.041554443,10.916116550,4.451058376
14.063494372,10.927269279,4.467836437
14.085434301,10.938461640,4.484690565
14.107374230,10.949693296,4.501621987
14.129314158,10.960963849,4.518631885
14.151254087,10.972272885,4.535721382
14.173194016,10.983620581,4.552891189
14.195133945,10.995007622,4.570141646
14.217073874,11.006434648,4.587473047
