#timestamp x y z qx qy qz qw
1787393467.35614562 -7.53410057 10.11085141 -0.31600740 0.02386787 -0.02131421 -0.92664218 0.37458016
1787393468.85617661 -7.11132819 9.13407604 -0.28848740 0.00680510 0.00195690 -0.36483184 0.93104650
1787393469.85631251 -6.08560247 9.11137946 -0.28523001 -0.00669696 0.01838626 -0.00590448 0.99979109
1787393470.75629830 -5.02293178 9.06977752 -0.27309504 -0.00412139 0.01339068 -0.01157904 0.99983480
1787393471.65617204 -4.00553486 9.01993225 -0.25702763 -0.00422543 0.00867525 -0.01002335 0.99990320
1787393472.55612922 -3.00077996 8.89296775 -0.23668823 -0.00683480 0.01677550 -0.08193362 0.99647316
1787393473.65613961 -2.58301957 7.90934423 -0.20822493 0.01487241 0.00717886 -0.71164317 0.70234698
1787393478.25616431 -3.62537773 7.77741572 -0.21167377 0.02494872 -0.01435659 -0.99767042 0.06184813
1787393479.85615754 -4.64574036 7.79682058 -0.23496507 -0.02746939 0.02003894 0.99941366 0.00402674
1787393481.35633278 -5.64766408 7.79045210 -0.24052695 0.02136267 -0.02215827 -0.99945808 0.01167009
1787393482.85617971 -6.67137265 7.63605828 -0.23849741 0.01978916 -0.01621099 -0.99321588 0.11343636
1787393484.45631623 -7.59711216 7.14997523 -0.23502576 0.01958403 -0.01498135 -0.95229353 0.30418588
1787393486.05625486 -8.05047111 6.20043851 -0.20649333 0.01824378 -0.00937179 -0.78654717 0.61718950
1787393487.35626459 -8.14848150 5.17083100 -0.18814824 0.01390059 -0.00288085 -0.73232244 0.68081005
1787393488.35619712 -8.26849116 4.06304624 -0.15773255 0.01139644 -0.00184826 -0.73595457 0.67693247
1787393489.45627737 -8.39200243 3.00805544 -0.13597640 0.01711452 -0.00077303 -0.73387625 0.67906711
1787393490.35627627 -8.25683782 1.97432295 -0.10506754 0.01676979 -0.00531782 -0.63621528 0.77131097
1787393491.25621748 -7.68262909 1.03180233 -0.08012295 0.00906890 0.00250165 -0.41434105 0.91007307
1787393492.15625548 -6.64933049 0.94126756 -0.07545020 -0.00261251 0.01782094 0.10238071 0.99458221
1787393493.05614424 -6.09887828 1.82099187 -0.08670975 -0.01861351 0.03210409 0.60358181 0.79643698
1787393493.85633206 -5.98561856 2.82576452 -0.11831081 -0.01589060 0.02295877 0.65607087 0.75418260
